taxon_id	scientific_name	vernacular_name_en	vernacular_name_fi	taxon_rank	is_bird
MX.26921	Lagopus lagopus	Willow Ptarmigan	riekko	species	True
MX.26922	Lagopus muta	Rock Ptarmigan	kiiruna	species	True
MX.26926	Tetrao tetrix	Black Grouse	teeri	species	True
MX.26928	Tetrao urogallus	Western Capercaillie	metso	species	True
MX.26931	Tetrastes bonasia	Hazel Grouse	pyy	species	True
MX.27048	Perdix perdix	Grey Partridge	peltopyy	species	True
MX.27058	Coturnix coturnix	Common Quail	viiriäinen	species	True
MX.27123	Gallus gallus		punaviidakkokana	species	True
MX.27152	Phasianus colchicus	Common Pheasant	fasaani	species	True
MX.27214	Grus grus	Common Crane	kurki	species	True
MX.27276	Rallus aquaticus	Water Rail	luhtakana	species	True
MX.27328	Crex crex	Corn Crake	ruisrääkkä	species	True
MX.27342	Porzana parva	Little Crake	pikkuhuitti	species	True
MX.27345	Porzana porzana	Spotted Crake	luhtahuitti	species	True
MX.27364	Gallinula chloropus	Common Moorhen	liejukana	species	True
MX.27381	Fulica atra	Eurasian Coot	nokikana	species	True
MX.27403	Tetrax tetrax	Little Bustard	pikkutrappi	species	True
MX.27459	Haematopus ostralegus	Eurasian Oystercatcher	meriharakka	species	True
MX.27475	Himantopus himantopus	Black-winged Stilt	pitkäjalka	species	True
MX.27486	Recurvirostra avosetta	Pied Avocet	avosetti	species	True
MX.27518	Glareola pratincola	Collared Pratincole	pääskykahlaaja	species	True
MX.27527	Vanellus vanellus	Northern Lapwing	töyhtöhyyppä	species	True
MX.27553	Pluvialis apricaria	European Golden Plover	kapustarinta	species	True
MX.27555	Pluvialis fulva	Pacific Golden Plover	siperiankurmitsa	species	True
MX.27556	Pluvialis squatarola	Grey Plover	tundrakurmitsa	species	True
MX.27559	Charadrius hiaticula	Common Ringed Plover	tylli	species	True
MX.27562	Charadrius dubius	Little Ringed Plover	pikkutylli	species	True
MX.27570	Charadrius alexandrinus	Kentish Plover	mustajalkatylli	species	True
MX.27597	Charadrius morinellus	Eurasian Dotterel	keräkurmitsa	species	True
MX.27603	Limosa limosa	Black-tailed Godwit	mustapyrstökuiri	species	True
MX.27605	Limosa lapponica	Bar-tailed Godwit	punakuiri	species	True
MX.27610	Numenius phaeopus	Whimbrel	pikkukuovi	species	True
MX.27613	Numenius arquata	Eurasian Curlew	kuovi	species	True
MX.27619	Tringa erythropus	Spotted Redshank	mustaviklo	species	True
MX.27620	Tringa totanus	Common Redshank	punajalkaviklo	species	True
MX.27621	Tringa stagnatilis	Marsh Sandpiper	lampiviklo	species	True
MX.27622	Tringa nebularia	Common Greenshank	valkoviklo	species	True
MX.27626	Tringa ochropus	Green Sandpiper	metsäviklo	species	True
MX.27628	Tringa glareola	Wood Sandpiper	liro	species	True
MX.27632	Xenus cinereus	Terek Sandpiper	rantakurvi	species	True
MX.27634	Actitis hypoleucos	Common Sandpiper	rantasipi	species	True
MX.27642	Arenaria interpres	Ruddy Turnstone	karikukko	species	True
MX.27646	Phalaropus lobatus	Red-necked Phalarope	vesipääsky	species	True
MX.27647	Phalaropus fulicarius	Red Phalarope	isovesipääsky	species	True
MX.27649	Scolopax rusticola	Eurasian Woodcock	lehtokurppa	species	True
